name,perturbation,level,repeat,baseline_blas,perturbed_blas,delta_blas
Image62-F15.png,remove_bline_pixels,0.0,0,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,0,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,1,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,1,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,2,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,2,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,3,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,3,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,4,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,4,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,5,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,5,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,6,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,6,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,7,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,7,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,8,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,8,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.0,9,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,add_false_positive_bline_pixels,0.0,9,0.312608587738893,0.312608587738893,0.0
Image62-F15.png,remove_bline_pixels,0.1,0,0.312608587738893,0.28170761975676345,-0.030900967982129546
Image62-F15.png,add_false_positive_bline_pixels,0.008,0,0.312608587738893,0.3171382477041449,0.004529659965251898
Image62-F15.png,remove_bline_pixels,0.1,1,0.312608587738893,0.2824522213948871,-0.03015636634400587
Image62-F15.png,add_false_positive_bline_pixels,0.008,1,0.312608587738893,0.31769669893273766,0.005088111193844669
Image62-F15.png,remove_bline_pixels,0.1,2,0.312608587738893,0.28046661702655745,-0.032141970712335544
Image62-F15.png,add_false_positive_bline_pixels,0.008,2,0.312608587738893,0.31856540084388185,0.005956813104988856
Image62-F15.png,remove_bline_pixels,0.1,3,0.312608587738893,0.2811491685281708,-0.031459419210722206
Image62-F15.png,add_false_positive_bline_pixels,0.008,3,0.312608587738893,0.31844130057086123,0.005832712831968234
Image62-F15.png,remove_bline_pixels,0.1,4,0.312608587738893,0.27841896252171766,-0.034189625217175335
