name,blas_abs_error,category_error,pixel_accuracy_all,mean_entropy_all,mean_max_probability_all,all_pixels_n_pixels,all_pixels_coverage,all_pixels_mean_set_size,all_pixels_mean_entropy,all_pixels_mean_max_probability,foreground_pixels_n_pixels,foreground_pixels_coverage,foreground_pixels_mean_set_size,foreground_pixels_mean_entropy,foreground_pixels_mean_max_probability,manual_blas_roi_n_pixels,manual_blas_roi_coverage,manual_blas_roi_mean_set_size,manual_blas_roi_mean_entropy,manual_blas_roi_mean_max_probability,manual_bline_or_confluence_n_pixels,manual_bline_or_confluence_coverage,manual_bline_or_confluence_mean_set_size,manual_bline_or_confluence_mean_entropy,manual_bline_or_confluence_mean_max_probability
S366-F39.png,0.0,False,0.983184814453125,0.025283388793468475,0.994388997554779,65536,0.961456298828125,0.967559814453125,0.025283388793468475,0.994388997554779,2270,0.9726872246696036,2.7105726872246696,0.1419401913881302,0.9492499232292175,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S356-F18.png,0.04874213836477987,False,0.9815673828125,0.025052368640899658,0.9947516322135925,65536,0.95684814453125,0.964569091796875,0.025052368640899658,0.9947516322135925,512,0.9765625,1.90625,0.07143081724643707,0.9736647009849548,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S316-F78.png,0.9619439173518871,True,0.9140472412109375,0.038277216255664825,0.9899192452430725,65536,0.894683837890625,0.9111328125,0.038277216255664825,0.9899192452430725,1225,0.9248979591836735,2.529795918367347,0.1388205736875534,0.9547949433326721,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S31-F18.png,0.22168076025680034,True,0.9278106689453125,0.03057088889181614,0.9920912384986877,65536,0.895843505859375,0.945068359375,0.03057088889181614,0.9920912384986877,6198,0.9280413036463375,2.5819619232010327,0.14489872753620148,0.947827160358429,7480,0.634090909090909,1.303475935828877,0.12504516541957855,0.955259382724762,5485,0.9651777575205105,2.5883318140382863,0.14223839342594147,0.9482528567314148
S347-F56.png,0.14883289263882094,False,0.924407958984375,0.04683273285627365,0.9856037497520447,65536,0.8663482666015625,0.9072265625,0.04683273285627365,0.9856037497520447,7644,0.9497645211930926,2.703819989534275,0.20445400476455688,0.920936107635498,11277,0.8351511926930921,1.2504212113150661,0.11316599696874619,0.9613026976585388,5887,0.9437744182096144,2.8615593680992015,0.22872565686702728,0.910338819026947
S112-F36.png,0.03460491198839866,True,0.98272705078125,0.039547886699438095,0.9893394708633423,65536,0.912078857421875,0.913177490234375,0.039547886699438095,0.9893394708633423,4832,0.9964817880794702,3.2626241721854305,0.25386843085289,0.9164662957191467,4182,0.9887613582018173,1.8725490196078431,0.28082510828971863,0.9067373871803284,4122,1.0,3.471858321203299,0.27459120750427246,0.9101844429969788
S443-F25.png,0.851123595505618,True,0.91796875,0.04088715836405754,0.9882444739341736,65536,0.898101806640625,0.908843994140625,0.04088715836405754,0.9882444739341736,580,0.95,3.0551724137931036,0.23115955293178558,0.9125707149505615,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S102-F34.png,0.057301256462520045,False,0.960205078125,0.034090306609869,0.991046130657196,65536,0.907135009765625,0.9281158447265625,0.034090306609869,0.991046130657196,4967,1.0,2.84437286088182,0.19419580698013306,0.9305840134620667,6981,0.8667812634293082,1.3870505658215155,0.14639218151569366,0.9507367610931396,4313,1.0,2.926037560862509,0.19785790145397186,0.9292982816696167
S305-F27.png,0.46277081967962685,True,0.92706298828125,0.051705144345760345,0.9836923480033875,65536,0.862030029296875,0.8803863525390625,0.051705144345760345,0.9836923480033875,2123,0.9246349505416863,2.715025906735751,0.18335749208927155,0.9347511529922485,7840,0.8964285714285715,1.4385204081632652,0.1713220328092575,0.9379914999008179,1231,0.9926888708367181,2.578391551584078,0.1813233494758606,0.9366655349731445
S16-F03.png,0.10092006682190946,True,0.9797515869140625,0.04218672588467598,0.9886494874954224,65536,0.898162841796875,0.9002227783203125,0.04218672588467598,0.9886494874954224,6572,0.9996956786366403,3.1932440657334147,0.21268025040626526,0.9319859743118286,5146,0.9760979401476875,1.4760979401476875,0.18100140988826752,0.9439079761505127,6160,0.9998376623376624,3.3642857142857143,0.22377486526966095,0.9283946752548218
S409-F22.png,0.12923976608187138,False,0.9766998291015625,0.031840886920690536,0.9918261170387268,65536,0.9339141845703125,0.941497802734375,0.031840886920690536,0.9918261170387268,959,1.0,2.1366006256517207,0.08133143931627274,0.9729077816009521,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S304-F34.png,0.011243975704760045,False,0.9840087890625,0.04086996242403984,0.9882758855819702,65536,0.9056243896484375,0.9067230224609375,0.04086996242403984,0.9882758855819702,4163,0.9997597886139803,2.6819601249099208,0.20064349472522736,0.9291899800300598,7128,0.9980359147025814,1.4211560044893379,0.16000019013881683,0.9437565207481384,2936,1.0,3.032016348773842,0.24733570218086243,0.9124115705490112
S347-F57.png,0.11200736699187497,False,0.9191741943359375,0.046916861087083817,0.9856215119361877,65536,0.8570404052734375,0.906463623046875,0.046916861087083817,0.9856215119361877,8511,0.9446598519562919,2.735518740453531,0.19514891505241394,0.9251288771629333,11773,0.834451711543362,1.2452221184065233,0.11149927973747253,0.9619381427764893,6250,0.94608,2.7864,0.20856867730617523,0.9189921617507935
S420-F02.png,0.07352474363266126,False,0.9503936767578125,0.047420576214790344,0.985395073890686,65536,0.8831024169921875,0.8956756591796875,0.047420576214790344,0.985395073890686,7239,0.9708523276695676,2.9365934521342725,0.2402607798576355,0.9096494913101196,8792,0.9101455868971793,1.403434940855323,0.16673490405082703,0.9386543035507202,5052,0.9867379255740301,2.893309580364212,0.25671330094337463,0.9019215703010559
S404-F11.png,0.043849206349206346,False,0.9879302978515625,0.028668683022260666,0.9929907321929932,65536,0.954132080078125,0.954986572265625,0.028668683022260666,0.9929907321929932,2889,0.9982692973347179,2.38006230529595,0.11202545464038849,0.961207389831543,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S328-F43.png,0.19667133845390639,True,0.944549560546875,0.03698341175913811,0.9897041916847229,65536,0.8914031982421875,0.92138671875,0.03698341175913811,0.9897041916847229,6568,0.9890377588306942,2.6084043848964678,0.1788027286529541,0.9336481690406799,10098,0.7715389185977422,1.3082788671023966,0.13452446460723877,0.9521934986114502,5219,0.9921440889059207,2.8459474995209812,0.19980952143669128,0.9255314469337463
S80-F45.png,0.21767995076818591,True,0.96478271484375,0.04210299625992775,0.9876813888549805,65536,0.923797607421875,0.9388885498046875,0.04210299625992775,0.9876813888549805,5114,0.899882675009777,3.9166992569417287,0.36302223801612854,0.8648809194564819,3366,0.8672014260249554,2.198752228163993,0.4428689181804657,0.8371104598045349,4628,0.8984442523768367,4.23638720829732,0.38924339413642883,0.8548588156700134
S419-F78.png,0.14012235769925932,False,0.9503021240234375,0.049688249826431274,0.984636664390564,65536,0.875030517578125,0.8866119384765625,0.049688249826431274,0.984636664390564,4607,0.9924028652051227,2.613414369437812,0.18919901549816132,0.9325988292694092,8721,0.9580323357413141,1.4072927416580667,0.16568873822689056,0.9390520453453064,3516,0.9943117178612059,2.771046643913538,0.2095840573310852,0.9251084327697754
S169-F20.png,0.05929176262509589,False,0.9727325439453125,0.043829742819070816,0.9870960116386414,65536,0.8906097412109375,0.8938140869140625,0.043829742819070816,0.9870960116386414,6743,0.9946611300608038,2.473824707103663,0.1740683615207672,0.9391860365867615,10530,0.98338081671415,1.184900284900285,0.08435534685850143,0.9717143774032593,5442,1.0,2.6549062844542446,0.19317267835140228,0.9325569868087769
S332-F60.png,0.24331877402837446,False,0.941070556640625,0.04801217094063759,0.9851943254470825,65536,0.8779754638671875,0.8919677734375,0.04801217094063759,0.9851943254470825,2895,0.9443868739205526,2.6431778929188257,0.19727537035942078,0.926039457321167,8619,0.9019607843137255,1.4304443670959508,0.17919139564037323,0.9339276552200317,2135,0.9868852459016394,2.9840749414519907,0.23516742885112762,0.9106690883636475
S37-F19.png,0.02299246062801996,False,0.979278564453125,0.034009672701358795,0.991402268409729,65536,0.9171295166015625,0.9237823486328125,0.034009672701358795,0.991402268409729,5152,0.9648680124223602,3.5535714285714284,0.21056640148162842,0.9337230324745178,2159,0.8754052802223251,1.4849467345993514,0.18902988731861115,0.9414916038513184,4764,0.9685138539042821,3.7172544080604535,0.21724984049797058,0.9318800568580627
S102-F46.png,0.041229734452257694,False,0.954742431640625,0.034006521105766296,0.9910973906517029,65536,0.9007415771484375,0.9289703369140625,0.034006521105766296,0.9910973906517029,5224,0.9680321592649311,2.705781010719755,0.1688505858182907,0.9409444332122803,6984,0.8529495990836197,1.3508018327605957,0.1315411925315857,0.95672208070755,4587,0.9773272291257903,2.792238936123828,0.16861167550086975,0.9414290189743042
S01-F04.png,0.05326106569948941,False,0.973663330078125,0.02563629113137722,0.994137704372406,65536,0.943328857421875,0.9605712890625,0.02563629113137722,0.994137704372406,4810,0.8141372141372142,2.7875259875259877,0.11020205914974213,0.9656410217285156,3480,0.7686781609195402,1.2528735632183907,0.10761316865682602,0.9677689671516418,4273,0.8031827755675169,2.886964661830096,0.1076551005244255,0.9671478867530823
S316-F39.png,0.9688151856487275,True,0.9061737060546875,0.035306621342897415,0.9910933375358582,65536,0.8874359130859375,0.9070281982421875,0.035306621342897415,0.9910933375358582,498,0.6927710843373494,2.495983935742972,0.09434749186038971,0.9757833480834961,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S320-F67.png,0.1857772607331336,True,0.9368743896484375,0.04225417971611023,0.9880772233009338,65536,0.8819427490234375,0.920684814453125,0.04225417971611023,0.9880772233009338,5821,0.6976464524995705,3.4430510221611406,0.2299344539642334,0.9210873246192932,5904,0.6161924119241192,1.5635162601626016,0.2208186239004135,0.9243956208229065,5574,0.6910656620021528,3.571582346609257,0.2296895980834961,0.9212009906768799
S409-F22 (1).png,0.12923976608187138,False,0.975982666015625,0.031840886920690536,0.9918261170387268,65536,0.93389892578125,0.941497802734375,0.031840886920690536,0.9918261170387268,1188,0.9570707070707071,2.4132996632996635,0.10833035409450531,0.9605969786643982,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S409-F24.png,0.27983988164938106,False,0.975921630859375,0.028084533289074898,0.9936132431030273,65536,0.940948486328125,0.9482269287109375,0.028084533289074898,0.9936132431030273,3043,0.9973710154452843,2.735787052251068,0.1464698165655136,0.9490639567375183,2989,0.8109735697557712,1.2080963532954165,0.09810920804738998,0.9707897305488586,918,1.0,3.0294117647058822,0.16757707297801971,0.9461777806282043
S112-F28.png,0.03931710507425534,False,0.98101806640625,0.03882789984345436,0.989474356174469,65536,0.9101104736328125,0.9139556884765625,0.03882789984345436,0.989474356174469,4763,0.9832038631114843,3.279865630904892,0.2292802333831787,0.9265826940536499,4587,0.9450621321124918,1.7054719860475256,0.24885009229183197,0.9171146154403687,4233,0.9829907866761163,3.5036617056461137,0.2467019408941269,0.9212670922279358
S379-F49.png,0.4960198355735352,False,0.927398681640625,0.049266986548900604,0.985231339931488,65536,0.8924713134765625,0.89422607421875,0.049266986548900604,0.985231339931488,812,0.8115763546798029,2.7746305418719213,0.17344409227371216,0.9380531311035156,0,nan,nan,nan,nan,0,nan,nan,nan,nan
S176-F02.png,0.02926957569563607,False,0.97357177734375,0.0472191721200943,0.9857982397079468,65536,0.8877716064453125,0.889923095703125,0.0472191721200943,0.9857982397079468,4170,0.9872901678657074,2.72326139088729,0.22070527076721191,0.9197085499763489,10653,0.9897681404299259,1.278231484088989,0.12255143374204636,0.9591161012649536,3062,0.9986936642717178,3.0597648595689093,0.26540014147758484,0.9022307395935059
S144-F38.png,0.09397241962664621,False,0.9275665283203125,0.04556423798203468,0.9870521426200867,65536,0.8533172607421875,0.882659912109375,0.04556423798203468,0.9870521426200867,7505,0.9826782145236509,2.7420386409060624,0.176787331700325,0.9379482865333557,10761,0.8762196821856705,1.3959669175727163,0.1592528522014618,0.9439958930015564,6517,0.9937087617001688,2.853153291391745,0.18148250877857208,0.936575710773468
S176-F08.png,0.09351749019952213,False,0.9606475830078125,0.046572037041187286,0.9860000014305115,65536,0.8822021484375,0.894927978515625,0.046572037041187286,0.9860000014305115,4555,0.9049396267837542,2.5477497255762898,0.1620023101568222,0.9426506757736206,16564,0.9806809949287612,1.1922241004588263,0.08872304856777191,0.9711156487464905,2807,0.9992874955468471,2.898111863199145,0.22034050524234772,0.9205171465873718
