width_multiplier,n_points,min_n_train,max_n_train,metric,l_inf,a,alpha,sse
0.5,20,32,371,1 - test_mean_dice_ex_bg,0.0,4.614701012941752,0.4799554165636229,0.030930082320281462
1.0,20,32,371,1 - test_mean_dice_ex_bg,0.2694425295433443,14.479269447856732,1.1439426028378614,0.0650477666665799
1.5,20,32,371,1 - test_mean_dice_ex_bg,0.2696944046183906,3.689715341181063,0.9020885275824494,0.01299367930634264
