subset,probability_threshold,mean_coverage,mean_entropy,pearson_entropy_vs_blas_abs_error,spearman_entropy_vs_blas_abs_error
all_pixels,0.9911817312240601,0.9052462768554688,0.038685583285987375,0.09242231843917909,0.19481392557022806
foreground_pixels,0.0006387233734130859,0.9397612738383906,0.18594064310193062,-0.06919921039578925,0.016566626650660263
manual_blas_roi,0.018227994441986084,0.8678382224296629,0.16203065808766928,0.21637951391892973,0.21842105263157893
manual_bline_or_confluence,0.0005573630332946777,0.9569087270442197,0.22053342866591918,0.040093298282629884,-0.026518218623481783
