name,split,conformal_alpha,probability_threshold,pixel_coverage,mean_prediction_set_size,fraction_ambiguous_pixels,mean_max_probability,mean_entropy,pixel_accuracy,blas_abs_error,category_error
S366-F39.png,heldout_eval,0.1,0.9911817312240601,0.961456298828125,0.967559814453125,0.0,0.994388997554779,0.025283388793468475,0.983184814453125,0.0,False
S356-F18.png,heldout_eval,0.1,0.9911817312240601,0.95684814453125,0.964569091796875,0.0,0.9947516322135925,0.025052368640899658,0.9815673828125,0.04874213836477987,False
S316-F78.png,heldout_eval,0.1,0.9911817312240601,0.894683837890625,0.9111328125,0.0,0.9899192452430725,0.038277216255664825,0.9140472412109375,0.9619439173518871,True
S31-F18.png,heldout_eval,0.1,0.9911817312240601,0.895843505859375,0.945068359375,0.0,0.9920912384986877,0.03057088889181614,0.9278106689453125,0.22168076025680034,True
S347-F56.png,heldout_eval,0.1,0.9911817312240601,0.8663482666015625,0.9072265625,0.0,0.9856037497520447,0.04683273285627365,0.924407958984375,0.14883289263882094,False
S112-F36.png,heldout_eval,0.1,0.9911817312240601,0.912078857421875,0.913177490234375,0.0,0.9893394708633423,0.039547886699438095,0.98272705078125,0.03460491198839866,True
S443-F25.png,heldout_eval,0.1,0.9911817312240601,0.898101806640625,0.908843994140625,0.0,0.9882444739341736,0.04088715836405754,0.91796875,0.851123595505618,True
S102-F34.png,heldout_eval,0.1,0.9911817312240601,0.907135009765625,0.9281158447265625,0.0,0.991046130657196,0.034090306609869,0.960205078125,0.057301256462520045,False
S305-F27.png,heldout_eval,0.1,0.9911817312240601,0.862030029296875,0.8803863525390625,0.0,0.9836923480033875,0.051705144345760345,0.92706298828125,0.46277081967962685,True
S16-F03.png,heldout_eval,0.1,0.9911817312240601,0.898162841796875,0.9002227783203125,0.0,0.9886494874954224,0.04218672588467598,0.9797515869140625,0.10092006682190946,True
S409-F22.png,heldout_eval,0.1,0.9911817312240601,0.9339141845703125,0.941497802734375,0.0,0.9918261170387268,0.031840886920690536,0.9766998291015625,0.12923976608187138,False
S304-F34.png,heldout_eval,0.1,0.9911817312240601,0.9056243896484375,0.9067230224609375,0.0,0.9882758855819702,0.04086996242403984,0.9840087890625,0.011243975704760045,False
S347-F57.png,heldout_eval,0.1,0.9911817312240601,0.8570404052734375,0.906463623046875,0.0,0.9856215119361877,0.046916861087083817,0.9191741943359375,0.11200736699187497,False
S420-F02.png,heldout_eval,0.1,0.9911817312240601,0.8831024169921875,0.8956756591796875,0.0,0.985395073890686,0.047420576214790344,0.9503936767578125,0.07352474363266126,False
S404-F11.png,heldout_eval,0.1,0.9911817312240601,0.954132080078125,0.954986572265625,0.0,0.9929907321929932,0.028668683022260666,0.9879302978515625,0.043849206349206346,False
S328-F43.png,heldout_eval,0.1,0.9911817312240601,0.8914031982421875,0.92138671875,0.0,0.9897041916847229,0.03698341175913811,0.944549560546875,0.19667133845390639,True
S80-F45.png,heldout_eval,0.1,0.9911817312240601,0.923797607421875,0.9388885498046875,0.0,0.9876813888549805,0.04210299625992775,0.96478271484375,0.21767995076818591,True
S419-F78.png,heldout_eval,0.1,0.9911817312240601,0.875030517578125,0.8866119384765625,0.0,0.984636664390564,0.049688249826431274,0.9503021240234375,0.14012235769925932,False
S169-F20.png,heldout_eval,0.1,0.9911817312240601,0.8906097412109375,0.8938140869140625,0.0,0.9870960116386414,0.043829742819070816,0.9727325439453125,0.05929176262509589,False
S332-F60.png,heldout_eval,0.1,0.9911817312240601,0.8779754638671875,0.8919677734375,0.0,0.9851943254470825,0.04801217094063759,0.941070556640625,0.24331877402837446,False
S37-F19.png,heldout_eval,0.1,0.9911817312240601,0.9171295166015625,0.9237823486328125,0.0,0.991402268409729,0.034009672701358795,0.979278564453125,0.02299246062801996,False
S102-F46.png,heldout_eval,0.1,0.9911817312240601,0.9007415771484375,0.9289703369140625,0.0,0.9910973906517029,0.034006521105766296,0.954742431640625,0.041229734452257694,False
S01-F04.png,heldout_eval,0.1,0.9911817312240601,0.943328857421875,0.9605712890625,0.0,0.994137704372406,0.02563629113137722,0.973663330078125,0.05326106569948941,False
S316-F39.png,heldout_eval,0.1,0.9911817312240601,0.8874359130859375,0.9070281982421875,0.0,0.9910933375358582,0.035306621342897415,0.9061737060546875,0.9688151856487275,True
S320-F67.png,heldout_eval,0.1,0.9911817312240601,0.8819427490234375,0.920684814453125,0.0,0.9880772233009338,0.04225417971611023,0.9368743896484375,0.1857772607331336,True
S409-F22 (1).png,heldout_eval,0.1,0.9911817312240601,0.93389892578125,0.941497802734375,0.0,0.9918261170387268,0.031840886920690536,0.975982666015625,0.12923976608187138,False
S409-F24.png,heldout_eval,0.1,0.9911817312240601,0.940948486328125,0.9482269287109375,0.0,0.9936132431030273,0.028084533289074898,0.975921630859375,0.27983988164938106,False
