run_id,status,timestamp_utc,seed,data_size_target,n_train,n_valid,n_test,width_multiplier,filters,parameter_count,epochs_requested,epochs_completed,best_epoch,best_valid_loss,best_valid_mean_dice_ex_bg,test_pixel_accuracy,test_mean_dice_ex_bg,test_blas_mae,test_blas_corr,elapsed_sec,output_dir
n0192_seed49_w0.5,completed,2026-05-16T07:56:59.451917+00:00,49,192,192,93,100,0.5,16x32x64x128x256,1963894,200,200,200,0.3117427707359355,0.6633569167888688,0.9541627502441407,0.6932339738909257,0.1721028620945494,0.5608976055373529,570.334,outputs/scaling_law/runs/n0192_seed49_w0.5
n0256_seed49_w0.5,completed,2026-05-16T08:06:36.099962+00:00,49,256,258,93,100,0.5,16x32x64x128x256,1963894,200,164,139,0.30505103609895196,0.6677353282305163,0.9531137084960938,0.6942994048704986,0.15823428011228033,0.6368019465594722,576.622,outputs/scaling_law/runs/n0256_seed49_w0.5
n0320_seed49_w0.5,completed,2026-05-16T08:19:31.549323+00:00,49,320,320,93,100,0.5,16x32x64x128x256,1963894,200,189,164,0.2893906219672131,0.7021179114049136,0.955128173828125,0.7055991517166846,0.1616133884067666,0.5994533204985196,775.425,outputs/scaling_law/runs/n0320_seed49_w0.5
n0370_seed49_w0.5,completed,2026-05-16T08:32:17.331763+00:00,49,370,371,93,100,0.5,16x32x64x128x256,1963894,200,167,142,0.29629205407634857,0.688967605477362,0.95531005859375,0.7071620617785025,0.15981406966973963,0.631514406510808,765.758,outputs/scaling_law/runs/n0370_seed49_w0.5
n0032_seed50_w0.5,completed,2026-05-16T08:32:58.637352+00:00,50,32,32,93,100,0.5,16x32x64x128x256,1963894,200,32,7,1.0407322324732298,0.16837506091647964,0.8998493957519531,0.1677827030311034,0.33313625146552167,0.08056371766412318,41.282,outputs/scaling_law/runs/n0032_seed50_w0.5
n0064_seed50_w0.5,completed,2026-05-16T08:38:16.996647+00:00,50,64,65,93,100,0.5,16x32x64x128x256,1963894,200,200,200,0.5002468004021593,0.32607969698133116,0.93472900390625,0.33365008784242517,0.18836427703407121,0.6260078372399903,318.336,outputs/scaling_law/runs/n0064_seed50_w0.5
n0128_seed50_w0.5,completed,2026-05-16T08:45:42.279335+00:00,50,128,129,93,100,0.5,16x32x64x128x256,1963894,200,200,197,0.3412260480465428,0.5360369105999452,0.9443820190429687,0.5387688501131076,0.18957126381084957,0.6481403147581324,445.258,outputs/scaling_law/runs/n0128_seed50_w0.5
n0192_seed50_w0.5,completed,2026-05-16T08:55:19.451506+00:00,50,192,194,93,100,0.5,16x32x64x128x256,1963894,200,200,198,0.32726904653733774,0.5440076639374232,0.9447984313964843,0.543640931729152,0.16605479472114937,0.6766515894314644,577.148,outputs/scaling_law/runs/n0192_seed50_w0.5
n0256_seed50_w0.5,completed,2026-05-16T09:06:58.561353+00:00,50,256,257,93,100,0.5,16x32x64x128x256,1963894,200,200,195,0.28620888276766704,0.6904151273782727,0.9552351379394531,0.7068677577404887,0.16029869273720387,0.6351123068617475,699.086,outputs/scaling_law/runs/n0256_seed50_w0.5
n0320_seed50_w0.5,completed,2026-05-16T09:20:37.236126+00:00,50,320,321,93,100,0.5,16x32x64x128x256,1963894,200,200,197,0.2766510360343482,0.7060852500617845,0.9563536071777343,0.7116571739142618,0.15934231548307565,0.6299945017025712,818.651,outputs/scaling_law/runs/n0320_seed50_w0.5
n0370_seed50_w0.5,completed,2026-05-16T09:35:51.443762+00:00,50,370,370,93,100,0.5,16x32x64x128x256,1963894,200,200,190,0.2753033439318339,0.708245780120557,0.956817626953125,0.7126721845586701,0.16016411456745627,0.618397853580617,914.183,outputs/scaling_law/runs/n0370_seed50_w0.5
n0032_seed51_w0.5,completed,2026-05-16T09:39:57.865073+00:00,51,32,32,95,100,0.5,16x32x64x128x256,1963894,200,188,163,0.8062788423738981,0.2474409990630002,0.9219309997558593,0.22376822115264608,0.23425193763744392,0.47929741599559705,246.398,outputs/scaling_law/runs/n0032_seed51_w0.5
n0064_seed51_w0.5,completed,2026-05-16T09:45:31.339652+00:00,51,64,68,95,100,0.5,16x32x64x128x256,1963894,200,200,181,0.5675917587782208,0.21767254970001818,0.927880859375,0.2027568627412209,0.2316208201281071,0.5603214159015392,333.45,outputs/scaling_law/runs/n0064_seed51_w0.5
n0128_seed51_w0.5,completed,2026-05-16T09:53:11.984030+00:00,51,128,132,95,100,0.5,16x32x64x128x256,1963894,200,200,199,0.33126773583261593,0.5558213774746885,0.9423399353027344,0.5368226648777388,0.18131175311793105,0.6746866795653085,460.618,outputs/scaling_law/runs/n0128_seed51_w0.5
n0192_seed51_w0.5,completed,2026-05-16T10:02:55.074814+00:00,51,192,194,95,100,0.5,16x32x64x128x256,1963894,200,200,199,0.29778964143050346,0.6790776734148983,0.9537689208984375,0.6817574849916178,0.16459773266654035,0.6282676714470627,583.066,outputs/scaling_law/runs/n0192_seed51_w0.5
n0256_seed51_w0.5,completed,2026-05-16T10:14:45.191841+00:00,51,256,258,95,100,0.5,16x32x64x128x256,1963894,200,200,195,0.28917054408474974,0.6931164133445253,0.9539816284179687,0.6987489882290489,0.16371802588571951,0.6253360011346122,710.09,outputs/scaling_law/runs/n0256_seed51_w0.5
n0320_seed51_w0.5,completed,2026-05-16T10:27:13.217845+00:00,51,320,320,95,100,0.5,16x32x64x128x256,1963894,200,180,155,0.28820722981503133,0.6925344953893243,0.9548298645019532,0.6974153635625082,0.1619964979744962,0.6184522937528543,748.001,outputs/scaling_law/runs/n0320_seed51_w0.5
n0370_seed51_w0.5,completed,2026-05-16T10:39:51.346160+00:00,51,370,369,95,100,0.5,16x32x64x128x256,1963894,200,163,138,0.28672911493401776,0.6935565625372497,0.9555778503417969,0.7074742296669915,0.16402598661501433,0.6269502765419855,758.104,outputs/scaling_law/runs/n0370_seed51_w0.5
n0032_seed47_w1,completed,2026-05-16T10:44:21.572771+00:00,47,32,34,93,100,1.0,32x64x128x256x512,7849190,200,200,199,0.4618418447432979,0.5254508042435028,0.9394296264648437,0.515219940851946,0.19636847586386538,0.5012106897990618,270.175,outputs/scaling_law/runs/n0032_seed47_w1
n0064_seed47_w1,completed,2026-05-16T10:50:12.781559+00:00,47,64,68,93,100,1.0,32x64x128x256x512,7849190,200,200,200,0.3520585811266335,0.5374405220035012,0.9460939025878906,0.547637633509979,0.20786178021340176,0.4010742722819316,351.158,outputs/scaling_law/runs/n0064_seed47_w1
n0128_seed47_w1,completed,2026-05-16T10:57:20.840935+00:00,47,128,132,93,100,1.0,32x64x128x256x512,7849190,200,166,141,0.2963511658612118,0.6624200919561122,0.9539407348632812,0.6823937979316727,0.1701005532303093,0.6247313136590537,427.969,outputs/scaling_law/runs/n0128_seed47_w1
n0192_seed47_w1,completed,2026-05-16T11:04:29.339835+00:00,47,192,193,93,100,1.0,32x64x128x256x512,7849190,200,132,107,0.2937626284296795,0.6820987970263908,0.9527568054199219,0.6964170156586434,0.16434941182702878,0.6157793321985254,428.402,outputs/scaling_law/runs/n0192_seed47_w1
n0256_seed47_w1,completed,2026-05-16T11:11:22.786528+00:00,47,256,259,93,100,1.0,32x64x128x256x512,7849190,200,104,79,0.29367381590668873,0.6804814813363522,0.9548406982421875,0.694336574249489,0.16864114936753424,0.6088227994751264,413.35,outputs/scaling_law/runs/n0256_seed47_w1
n0320_seed47_w1,completed,2026-05-16T11:19:37.102908+00:00,47,320,322,93,100,1.0,32x64x128x256x512,7849190,200,106,81,0.28400348847912205,0.6913928997907478,0.956812744140625,0.7131737380820377,0.1674729879796748,0.6012847000863324,494.227,outputs/scaling_law/runs/n0320_seed47_w1
n0370_seed47_w1,completed,2026-05-16T11:30:28.258342+00:00,47,370,370,93,100,1.0,32x64x128x256x512,7849190,200,125,100,0.28574576268913926,0.6930481295173052,0.9580224609375,0.7157089936229692,0.15862783538680753,0.62579830652909,651.03,outputs/scaling_law/runs/n0370_seed47_w1
n0032_seed48_w1,completed,2026-05-16T11:34:48.350218+00:00,48,32,33,93,100,1.0,32x64x128x256x512,7849190,200,172,147,0.7531547501523007,0.24263786615428007,0.9296623229980469,0.23816312878066767,0.279927854381226,0.2412186928260264,260.017,outputs/scaling_law/runs/n0032_seed48_w1
n0064_seed48_w1,completed,2026-05-16T11:40:58.236378+00:00,48,64,64,93,100,1.0,32x64x128x256x512,7849190,200,200,195,0.3677559972450297,0.5290422324914124,0.9423469543457031,0.5315506272348266,0.19265374246631947,0.6295194501349785,369.804,outputs/scaling_law/runs/n0064_seed48_w1
n0128_seed48_w1,completed,2026-05-16T11:49:30.667297+00:00,48,128,129,93,100,1.0,32x64x128x256x512,7849190,200,200,175,0.2868453472532252,0.7057145672999108,0.9561305236816406,0.7013672244624671,0.17160415317236904,0.5917865730325389,512.365,outputs/scaling_law/runs/n0128_seed48_w1
n0192_seed48_w1,completed,2026-05-16T11:58:26.586868+00:00,48,192,192,93,100,1.0,32x64x128x256x512,7849190,200,165,140,0.27845589031455337,0.7077388745156795,0.9557069396972656,0.6972484527937821,0.17878329128891507,0.5809840774385757,535.834,outputs/scaling_law/runs/n0192_seed48_w1
